insta_id,max_posts,follower,numMonth,numWeek,recent_post_date
plus_coffee.jp,12,1253,4,1,20180718
nouveau_tresor,12,56,0,0,20180412
nkhc,12,1420,12,5,20180719
toolconsulting,12,983,0,0,20180623
bebe_couture,12,129,3,1,20180718
LAU.MADE.IN.JAPAN,12,1318,7,1,20180716
energyfrog,12,152,0,0,20171110
pre_hanaco,12,115,12,1,20180716
blanc_kee,12,498,3,1,20180717
naotooga,12,946,12,1,20180717
madoka_amazingme,12,5674,12,5,20180718
_STORY.M_,12,410,5,1,20180716
otome_youbi_,12,245,2,0,20180715
tundraeskimo,11,55,0,0,20170709
FNPtyo,12,648,0,0,20180531
souei.jewel,12,134,1,0,20180710
pariss1717,12,121,0,0,20171122
LanikaiJewelryCo,12,76,1,0,20180701
fairysouls,0,5,0,0,19700101
shiica_,12,1406,10,2,20180718
okinawa_0120_akinawan,12,5129,2,0,20180713
nonoko0629,12,1447,1,0,20180711
mao.uoxou,12,705,5,1,20180716
belo_ism,12,663,0,0,20180623
y_ryuta_k_,0,77,0,0,19700101
areren2013,12,122,4,0,20180709
rune214,12,568,3,2,20180718
rayamic,12,5732,5,3,20180719
yellow_gipsy420,12,81,12,12,20180718
artique0,12,7600,12,3,20180719
eclectic_sato,12,706,12,3,20180719
rocos,12,463,9,0,20180713
kiini_tokyo,12,259,2,0,20180709
k_by_c,12,86,0,0,20150817
_soasoah_,12,337,7,2,20180716
amayadori2005,12,932,3,0,20180715
lukacca,12,633,8,2,20180718
bella_legame,12,54,0,0,20180617
murakushu,12,229,12,2,20180717
monopro7881,12,76,2,1,20180716
sevenchakrajewelry,11,6,0,0,20180323
milimilijapan,12,397,5,1,20180717
ekmahalo_golf_jewelry,12,170,5,0,20180710
chloemnh,12,638,10,3,20180719
ayushke_toltec,12,373,5,0,20180713
merbytokyo,10,5,0,0,20180512
cometcometcomet,12,240,9,1,20180717
HIRO_PRUEBA,12,462,3,0,20180715
mana_ohana,12,4071,2,1,20180718
tinylily,12,97,2,2,20180719
jewelearth.ishigaki,12,566,0,0,20180621
zunko0215,12,3397,12,5,20180718
xscherzox,12,705,0,0,20171009
daisy.silver.accessory,12,133,10,3,20180718
setogiants,12,34,0,0,20170106
mayu.mycraft,12,542,3,0,20180705
jojoyarn_bymyjojo,12,184,0,0,20180325
flys_unidentified,12,4088,3,2,20180717
aoimoment,12,55,5,2,20180718
mumu5357,12,567,0,0,20180613
kohiro_n14,12,167,5,2,20180717
76nanaroku,12,45,0,0,20180612
cailin.agus.grandma,12,141,0,0,20161130
tegami.tokei,12,187,1,0,20180706
fujiocurry,11,78,0,0,20180630
papa_soze,5,6,0,0,20150506
lonesomegoodluck,12,172,2,2,20180718
matrice.aya,12,1719,12,3,20180718
aki.s623,12,590,8,1,20180719
