instagram_id,max_posts,follower,numMonth,numWeek,numMonthTag,numWeekTag,recent_post_date
galerie_japan_antiques,12,160,5,0,0,0,20180812
galleryshin_m,12,19,12,7,1,1,20180906
gardener.f.f,12,202,11,3,0,0,20180905
gata720,12,256,3,0,1,0,20180828
georgetakatsuki,12,1327,12,7,0,0,20180906
getasetta_japan,12,2174,8,0,0,0,20180830
ghostlanch,12,214,12,2,1,0,20180904
gilet_catstreet,12,2661,12,12,0,0,20180906
gion359,12,224,7,1,0,0,20180831
glanz43,12,286,7,0,0,0,20180823
gloda.shop,12,689,12,5,3,2,20180906
sweet_godot,12,114,6,0,1,0,20180830
gok_cappadocia,12,204,12,5,11,5,20180905
maedasenko,12,109,6,2,0,0,20180906
gowns_bridal,12,411,11,3,0,0,20180904
lian_n.e,8,9,2,1,0,0,20180904
itoshigoto,12,481,3,0,0,0,20180815
gram_29_,12,2,0,0,0,0,20180430
eastgate_001,12,8,0,0,0,0,19700101
grasswoodtks,12,27,7,1,1,0,20180905
quriquro.1015,12,584,12,12,12,12,20180906
groundstarplus,12,629,5,0,0,0,20180830
climbinggymgugu,12,138,10,1,0,0,20180831
guilty_sawa,12,1038,5,1,0,0,20180901
gummy.party.project,12,321,12,8,0,0,20180905
s.a.gypsophila,12,437,7,3,2,2,20180904
haight__ashbury,12,473,3,0,0,0,20180822
haliaalohailio,12,51,4,2,0,0,20180904
hamppu.ja.mina,12,62,1,0,0,0,20180826
luna_the_days,12,70,11,3,0,0,20180906
hanalimaworks,12,401,9,1,0,0,20180902
satoring,12,74,4,0,0,0,20180822
rui_illustration,12,328,12,7,0,0,20180905
handmade_oz,12,873,12,12,0,0,20180906
handyman871,12,498,12,1,0,0,20180902
iplayboxjapan,12,1386,12,4,0,0,20180901
haotsutaiwan88,12,41,1,1,0,0,20180906
rojiurasan,12,178,12,2,0,0,20180905
harapeko_paint,12,448,4,0,1,0,20180830
harbariumc_m,12,481,12,6,0,0,20180905
haru.kirari,12,381,12,5,2,2,20180904
hasunemayu,12,1839,5,0,2,0,20180830
hatsume3,0,41,0,0,0,0,19700101
hau___oli,12,160,4,0,0,0,20180817
candlehaus,12,580,12,4,0,0,20180905
hawaiian_quilt_kai,12,407,12,4,5,2,20180904
hayashimo_kanako,12,6372,6,0,0,0,20180823
hayflower_extract,12,462,12,12,0,0,20180906
kabukimono1101,12,742,12,8,1,1,20180906
chieheaven,12,320,12,11,0,0,20180906
hellodollyutsunomiya,8,78,4,1,0,0,20180831
_hellome._,12,991,12,6,3,1,20180906
mar1.jasm1n,12,222,12,4,0,0,20180905
hermana__s.o__,12,902,12,4,0,0,20180903
hermana_de_moda,12,122,12,4,6,3,20180906
hexis_onlinediet,12,1966,0,0,0,0,20180501
kentarotakizawa,12,2315,12,5,0,0,20180906
hikichi.acc,12,452,12,12,12,12,20180906
HIPSTER_OSU,12,1121,11,9,0,0,20180906
komamonoya_hiroha,12,91,5,2,4,1,20180903
hisokka.6,12,178,12,5,0,0,20180903
holocoffeeroaster,12,41,1,0,0,0,20180815
honnoh_genta,12,2057,10,3,2,2,20180906
kinaco_sak,12,431,4,1,0,0,20180903
hoshituko,12,28,1,0,0,0,20180808
hosoifukuromono,12,1467,12,6,0,0,20180906
hoyuelobag,12,50,11,5,2,0,20180901
headphonegirlrecords,12,78,2,1,0,0,20180831
hrkart.313,12,3949,5,2,0,0,20180907
shop_hyacca,12,418,8,1,0,0,20180905
hyo105okame,12,410,6,6,0,0,19700101
iandyou_from,12,261,12,4,2,1,20180905
jikuusenshiibaliger,12,642,12,4,0,0,20180904
icholla49,12,121,5,0,0,0,20180817
i__do__wedding,12,287,1,0,0,0,20180819
id_usedclothes,12,1570,12,12,12,12,20180907
iida_saketen,12,254,10,1,0,0,20180831
mamiino,12,577,12,1,0,0,20180905
ijkomotesando,12,600,12,12,0,0,20180906
ikifun_works,12,250,9,1,1,0,20180903
ikiya.japan.gift,12,218,12,7,5,5,20180905
ink.tokyo,12,178,2,0,0,0,20180830
insterra.jp,12,391,9,0,0,0,20180827
intheeyes__,12,170,6,1,0,0,20180831
erika.intheisland,12,164,11,1,0,0,20180903
irihiakane,12,370,3,0,0,0,20180830
iro__iro__,12,897,12,5,2,1,20180906
ishica.fan,12,222,0,0,0,0,20180723
tea_ishimatsuen,12,129,9,1,0,0,20180901
itabucoffee,12,640,12,5,0,0,20180906
iyashian0401,12,39,12,11,0,0,20180907
izumikawamacfly,12,346,7,1,0,0,20180903
jammoca0601,12,133,12,0,0,0,20180824
javasparrowtokyo,12,52,2,0,0,0,20180826
Jerking_addict,12,391,6,1,0,0,20180903
souei.jewel,12,148,12,2,9,1,20180907
jino.toy,12,166,12,3,5,3,20180905
jiroya_norinori.king,12,597,1,0,0,0,20180817
jnstyle_jp,12,933,9,2,1,1,20180903
fu_syu.accessories,12,1238,3,0,0,0,20180829
dog.headcover,12,234,12,5,0,0,20180906
jolieholic_accessory,12,362,7,3,5,3,20180904
knock_and_wood,12,1041,12,12,12,12,20180906
kasukawa_natto,12,178,1,0,0,0,20180812
julius.babykids,12,52,3,0,0,0,20180829
jully_ground,12,358,12,3,1,0,20180905
kabanbaka,12,2245,3,0,0,0,20180807
kakavaka_nagoya_,12,4231,12,12,0,0,20180906
kita.yuriko,12,51,5,0,0,0,20180827
kanehatsu,12,33,5,2,2,0,20180905
karakaze_to_hana,12,2116,11,3,0,0,20180905
karappo_ya,12,278,12,3,0,0,20180907
hidekofukushima,12,290,12,4,0,0,20180906
mikachu0720,12,1917,6,2,0,0,20180903
katemate3080,12,174,2,2,0,0,20180906
mizuemontrip,12,1188,12,8,0,0,20180907
kayocompose.soap,12,107,10,1,1,1,20180902
kecilbali_osaka,12,584,5,2,0,0,20180901
kenko.rakurakukun,12,327,11,2,0,0,20180902
erika_4mama,12,5972,12,12,0,0,20180907
ponpon252527,12,636,4,1,0,0,20180831
kian_2f,12,2178,12,2,0,0,20180901
kids_petite,12,64,3,0,0,0,20180830
kiini_tokyo,12,259,0,0,0,0,20180727
kiminoria.shop,12,80,11,1,2,0,20180902
kimonogasuki01,12,1076,12,2,0,0,20180902
kingcolumbia_,12,817,12,0,0,0,20180831
sanin_kirari,12,74,6,4,0,0,20180907
kirica_tokyo,12,36,7,2,0,0,20180906
kirikikagurado,12,99,1,0,0,0,20180809
kirikomodern,7,25,7,1,0,0,20180901
hisakomaru,12,602,11,7,1,1,20180906
besties_0407,12,3607,5,2,1,1,20180905
kiyoi_made_in_japan,12,89,0,0,0,0,20180622
kizunagohan,12,50,3,2,0,0,20180903
kizzifabric,12,672,12,10,2,2,20180905
cuddlydominion,12,359,0,0,0,0,20180726
kojimano_,12,1956,12,4,1,0,20180907
lgt_hakodate,12,1226,12,12,0,0,20180903
kokuho_do,4,3,0,0,0,0,20180622
komuffee_official,12,37,12,4,0,0,20180905
konawinds.life,12,680,9,3,0,0,20180906
kongaraya,12,148,0,0,0,0,20180420
konomi.handmade,12,69,6,1,1,1,20180831
kopiyo_to,12,702,3,1,0,0,20180905
koshijicoffee,12,42,0,0,0,0,20180227
kosokobo.naito,12,322,12,4,0,0,20180906
kozobutu,12,54,0,0,0,0,20180804
kraby_zna,12,98,12,4,3,0,20180906
krisssoonik_japan,12,8585,12,9,0,0,20180906
krroriginal,12,2837,12,3,0,0,20180907
kscuoio,12,145,3,0,2,0,20180828
ks_papa_lure,12,74,5,2,0,0,20180906
kukkaricaco,12,722,0,0,0,0,20180525
kuopus2016,12,549,0,0,0,0,20180720
kura_jp,12,459,12,5,0,0,20180906
kura_dou,12,1134,3,0,0,0,20180831
mikiotokyofromjapan,12,174,8,3,0,0,20180906
la3neq0.9,12,2960,1,0,1,0,20180830
labochu,12,122,5,0,0,0,20180824
latteart_bar_z.e.r.o,12,2878,11,11,0,0,20180907
lalaena879,12,815,12,4,0,0,20180906
atelier.lallure,12,414,12,11,9,8,20180906
lapplause.shop,12,188,0,0,0,0,20180731
noreri_shop,12,389,12,6,3,1,20180904
kaori.lecorail,12,410,12,6,9,6,20180906
legiter9,12,246,0,0,0,0,20180615
le_jardinet_fleuriste,12,221,12,6,0,0,20180906
lelienci,12,252,12,5,4,3,20180906
lemi_original_handmade,12,594,12,4,8,4,20180906
lesstress_art,12,300,0,0,0,0,20180516
liberty_shop5970,12,154,5,0,1,0,20180828
lilchre,12,580,12,7,0,0,20180907
handmade_lilys,12,43,3,3,0,0,20180903
linentokinari,12,1107,12,12,7,7,20180907
LINOANELA_YUKO,12,363,12,12,1,1,20180906
littledogstyle_shop,12,644,0,0,0,0,20180725
loveydesign2018,12,32,12,5,5,2,20180906
lolma_jewelry,12,366,12,6,6,6,20180906
lonesomegoodluck,12,189,12,2,2,1,20180903
loop__official,12,223,12,4,4,4,20180903
smile_loopy,12,452,8,1,0,0,20180831
lop_80,12,1921,5,3,0,0,20180902
louielouie44,12,476,5,3,0,0,20180904
lou.loudi,12,215,3,2,0,0,20180904
lovablegoblin_room,12,74,0,0,0,0,20180619
lovecocoa_japan,12,390,12,12,0,0,20180907
loveleaf_inc,12,578,12,6,0,0,20180904
lovyatokyo,12,366,7,1,2,0,20180903
lsd.blog,12,99,4,2,0,0,20180906
lucha_cactus,12,146,2,1,0,0,20180903
baaalbashdogwear,12,758,12,7,0,0,20180907
m2fit.jp,11,100,5,3,0,0,20180906
leic03,12,643,12,9,2,2,20180906
masaki0409,12,53224,12,3,0,0,20180906
littlemac0042,12,2018,12,9,0,0,20180906
madras_official,12,271,5,2,0,0,20180904
onlineshop_magia,12,172,0,0,0,0,20180720
